listing_id,date
304835,2013-08-31
304835,2013-11-03
304835,2013-11-24
304835,2014-01-03
304835,2014-01-06
304835,2014-02-04
304835,2014-02-18
304835,2014-02-22
304835,2014-02-24
304835,2014-03-24
304835,2014-04-18
304835,2014-05-07
304835,2014-05-29
304835,2014-06-04
304835,2014-06-26
304835,2014-07-11
304835,2014-07-27
304835,2014-09-08
304835,2014-09-24
304835,2014-10-27
304835,2014-10-30
304835,2014-11-04
304835,2014-11-18
304835,2014-12-08
304835,2014-12-12
304835,2014-12-27
304835,2015-02-15
304835,2015-03-08
304835,2015-03-21
304835,2015-03-29
304835,2015-04-11
304835,2015-04-14
304835,2015-04-26
304835,2015-05-14
304835,2015-05-19
304835,2015-05-21
304835,2015-05-24
304835,2015-05-29
304835,2015-06-04
304835,2015-06-11
304835,2015-06-18
304835,2015-07-01
304835,2015-07-06
304835,2015-07-08
304835,2015-07-12
304835,2015-07-26
304835,2015-07-31
304835,2015-08-04
304835,2015-08-07
304835,2015-08-16
304835,2015-08-19
304835,2015-08-26
304835,2015-09-01
304835,2015-09-04
304835,2015-09-14
7224700,2015-07-26
7224700,2015-08-24
7224700,2015-09-09
186315,2014-10-16
186315,2014-10-30
186315,2014-12-15
186315,2014-12-22
186315,2015-01-03
186315,2015-01-25
186315,2015-05-12
3933244,2014-09-27
4123192,2014-11-23
4123192,2014-12-12
4123192,2015-01-04
4123192,2015-01-26
4123192,2015-02-15
4123192,2015-03-01
4123192,2015-06-07
5559476,2015-04-05
7429668,2015-09-09
7429668,2015-09-19
7429668,2015-09-25
4533078,2014-12-09
4533078,2014-12-14
2012878,2015-01-17
934868,2013-07-08
934868,2013-10-21
934868,2013-11-09
934868,2013-12-07
934868,2013-12-31
934868,2014-01-07
934868,2014-01-31
934868,2014-02-04
934868,2014-02-10
934868,2014-03-07
934868,2014-03-12
934868,2014-03-23
934868,2014-03-25
934868,2014-03-31
934868,2014-04-19
934868,2014-05-01
934868,2014-05-16
934868,2014-07-03
934868,2014-07-08
934868,2014-08-10
934868,2014-08-14
934868,2014-08-24
934868,2014-09-21
934868,2014-10-16
934868,2014-11-11
934868,2014-11-17
934868,2014-11-27
934868,2014-12-04
934868,2014-12-10
934868,2015-02-17
934868,2015-02-25
934868,2015-03-01
934868,2015-03-10
934868,2015-06-22
143247,2011-10-30
143247,2011-11-15
143247,2011-12-07
143247,2011-12-20
143247,2012-01-11
143247,2012-03-05
143247,2012-11-20
143247,2012-12-20
143247,2014-03-14
143247,2014-05-14
143247,2014-06-10
143247,2014-08-21
143247,2014-09-22
143247,2014-10-06
143247,2014-11-14
143247,2015-01-03
143247,2015-01-29
143247,2015-02-08
143247,2015-02-18
143247,2015-03-01
143247,2015-04-24
5213099,2015-03-24
5213099,2015-04-10
5213099,2015-05-03
5213099,2015-07-05
5213099,2015-09-21
3782977,2014-12-07
3782977,2015-02-01
3782977,2015-02-08
3782977,2015-02-22
3782977,2015-03-16
3782977,2015-03-21
3782977,2015-03-24
2151706,2014-02-17
2151706,2015-01-04
2151706,2015-08-13
4936780,2015-03-08
4936780,2015-09-28
6082897,2015-09-05
6082897,2015-09-13
968239,2013-10-05
968239,2013-12-23
968239,2013-12-28
968239,2014-01-02
968239,2014-03-11
968239,2014-04-25
968239,2014-12-09
968239,2014-12-28
968239,2015-02-06
968239,2015-04-07
968239,2015-04-13
968239,2015-05-18
968239,2015-07-17
968239,2015-09-07
2626633,2014-07-06
2626633,2014-08-29
2626633,2015-01-02
5231779,2015-06-28
73639,2011-03-17
73639,2011-03-22
73639,2011-03-25
73639,2011-04-03
73639,2011-04-10
73639,2011-04-13
73639,2011-04-18
73639,2011-04-21
73639,2011-05-26
73639,2011-06-03
73639,2011-06-29
73639,2011-07-07
73639,2011-07-15
73639,2011-07-22
73639,2011-08-02
73639,2011-08-06
73639,2011-08-10
73639,2011-08-13
73639,2011-08-23
73639,2011-08-28
73639,2011-09-02
73639,2011-09-04
73639,2011-09-10
73639,2011-09-20
73639,2011-09-27
73639,2011-10-12
73639,2011-10-16
73639,2011-10-21
73639,2011-10-24
73639,2011-10-29
73639,2011-11-05
73639,2011-11-08
73639,2011-11-14
73639,2011-11-18
73639,2011-12-15
73639,2011-12-18
73639,2011-12-21
73639,2011-12-26
73639,2011-12-30
73639,2012-01-02
73639,2012-01-07
73639,2012-01-12
73639,2012-01-18
73639,2012-01-27
73639,2012-01-29
73639,2012-02-01
73639,2012-02-04
73639,2012-02-11
73639,2012-03-05
73639,2012-03-09
73639,2012-03-22
73639,2012-03-26
73639,2012-04-16
73639,2012-04-23
73639,2012-05-20
73639,2012-05-21
73639,2012-06-14
73639,2012-06-25
73639,2012-07-06
73639,2012-07-10
73639,2012-07-24
73639,2012-07-30
73639,2012-08-04
73639,2012-08-10
73639,2012-08-14
73639,2012-08-24
73639,2012-08-30
73639,2012-09-09
73639,2012-09-17
73639,2012-09-24
73639,2012-09-30
73639,2012-10-03
73639,2012-10-11
73639,2012-10-12
73639,2012-10-26
73639,2012-10-30
73639,2012-11-09
73639,2012-11-29
73639,2012-12-04
73639,2012-12-09
73639,2012-12-15
73639,2012-12-19
73639,2013-01-06
73639,2013-01-12
73639,2013-01-21
73639,2013-02-04
73639,2013-02-13
73639,2013-02-17
73639,2013-03-11
73639,2013-03-17
73639,2013-03-27
73639,2013-04-20
73639,2013-05-16
73639,2013-05-21
73639,2013-05-27
73639,2013-06-17
73639,2013-06-25
73639,2013-06-29
73639,2013-07-11
73639,2013-07-31
73639,2013-08-07
73639,2013-08-12
73639,2013-08-19
73639,2013-08-23
73639,2013-09-02
73639,2013-09-17
73639,2013-09-23
73639,2013-10-07
73639,2013-10-30
73639,2013-11-02
73639,2013-11-06
